antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'AWK8010000'}),frozenset({'AMFT010000'}),0.1903114186851211,0.05190311418685121,0.03806228373702422,0.2,3.853333333333334,0.02818452844194873,1.1851211072664358,0.9145299145299145
frozenset({'AMFT010000'}),frozenset({'AWK8010000'}),0.05190311418685121,0.1903114186851211,0.03806228373702422,0.7333333333333334,3.8533333333333335,0.02818452844194873,3.0363321799307963,0.7810218978102189
frozenset({'AMFW010000'}),frozenset({'AWK8010000'}),0.04844290657439446,0.1903114186851211,0.020761245674740483,0.42857142857142855,2.2519480519480517,0.011542007399336692,1.4169550173010381,0.5842424242424241
frozenset({'AWK8010000'}),frozenset({'AMFW010000'}),0.1903114186851211,0.04844290657439446,0.020761245674740483,0.10909090909090909,2.2519480519480517,0.011542007399336692,1.0680742885389451,0.6866096866096865
frozenset({'AX15010000'}),frozenset({'AMFW010000'}),0.14878892733564014,0.04844290657439446,0.010380622837370242,0.06976744186046512,1.4401993355481728,0.0031728547311454594,1.022923875432526,0.35907859078590776
frozenset({'AMFW010000'}),frozenset({'AX15010000'}),0.04844290657439446,0.14878892733564014,0.010380622837370242,0.21428571428571427,1.4401993355481726,0.0031728547311454594,1.0833595470273671,0.3212121212121211
frozenset({'AR5X010000'}),frozenset({'AR5K010000'}),0.1695501730103806,0.08650519031141868,0.02768166089965398,0.163265306122449,1.8873469387755106,0.013014690916057043,1.0917376993839143,0.5661458333333335
frozenset({'AR5K010000'}),frozenset({'AR5X010000'}),0.08650519031141868,0.1695501730103806,0.02768166089965398,0.32000000000000006,1.8873469387755106,0.013014690916057043,1.2212497455729698,0.5146780303030304
frozenset({'AR5K010000'}),frozenset({'AW5L010000'}),0.08650519031141868,0.02768166089965398,0.01384083044982699,0.16000000000000003,5.780000000000001,0.011446223105566266,1.1575218322623169,0.9053030303030304
frozenset({'AW5L010000'}),frozenset({'AR5K010000'}),0.02768166089965398,0.08650519031141868,0.01384083044982699,0.5,5.78,0.011446223105566266,1.8269896193771626,0.8505338078291815
frozenset({'AR5K010000'}),frozenset({'AX10010000'}),0.08650519031141868,0.01384083044982699,0.010380622837370242,0.12000000000000001,8.67,0.00918331916523988,1.1206354199433783,0.9684343434343434
frozenset({'AX10010000'}),frozenset({'AR5K010000'}),0.01384083044982699,0.08650519031141868,0.010380622837370242,0.7499999999999999,8.67,0.00918331916523988,3.6539792387543235,0.8970760233918128
frozenset({'AR5Y010000'}),frozenset({'AR5L010000'}),0.2491349480968858,0.06228373702422145,0.02422145328719723,0.09722222222222222,1.560956790123457,0.008704397696387737,1.038701091296247,0.47860434496379206
frozenset({'AR5L010000'}),frozenset({'AR5Y010000'}),0.06228373702422145,0.2491349480968858,0.02422145328719723,0.3888888888888889,1.560956790123457,0.008704397696387737,1.2286882667505503,0.38323668950975226
