antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'AY4Y010000'}),frozenset({'AVHSG0301'}),0.04864544196163734,0.16762243754531672,0.012919385670028344,0.26558265582655827,1.5844099376896246,0.00476531811294946,1.133384946663388,0.3877105612563046
frozenset({'AVHSG0301'}),frozenset({'AY4Y010000'}),0.16762243754531672,0.04864544196163734,0.012919385670028344,0.07707432166732206,1.5844099376896246,0.00476531811294946,1.03080300003901,0.4431284867447137
frozenset({'VMJW400000'}),frozenset({'AVHSG0301'}),0.07659350075802518,0.16762243754531672,0.02920044822358447,0.38123924268502585,2.2743926664469236,0.016361658926395226,1.345233278960142,0.6067990474359678
frozenset({'AVHSG0301'}),frozenset({'VMJW400000'}),0.16762243754531672,0.07659350075802518,0.02920044822358447,0.17420369642154934,2.2743926664469236,0.016361658926395226,1.1182012988439722,0.6731586835231607
frozenset({'AVHSG0301'}),frozenset({'VN1R010000'}),0.16762243754531672,0.034210005932370974,0.017203875815701007,0.10263468344475028,3.000136382543943,0.01146951123287724,1.076250637560903,0.8009367979931479
frozenset({'VN1R010000'}),frozenset({'AVHSG0301'}),0.034210005932370974,0.16762243754531672,0.017203875815701007,0.5028901734104045,3.000136382543943,0.01146951123287724,1.6744339337751184,0.6902968799520524
frozenset({'AWK8010000'}),frozenset({'AYGL400000'}),0.04726122206842001,0.15859205062289894,0.011996572407883462,0.25383542538354253,1.6005557932226617,0.004501318285108527,1.1276439246792176,0.3938299143778596
frozenset({'AYGL400000'}),frozenset({'AWK8010000'}),0.15859205062289894,0.04726122206842001,0.011996572407883462,0.07564422277639236,1.600555793222662,0.004501318285108527,1.030705710298283,0.4459394894177503
frozenset({'AY4R010000'}),frozenset({'AYGL400000'}),0.050161492320875356,0.15859205062289894,0.02181794212642542,0.4349540078843627,2.7425965310114995,0.013862728196952999,1.4890963941301723,0.6689368955345294
frozenset({'AYGL400000'}),frozenset({'AY4R010000'}),0.15859205062289894,0.050161492320875356,0.02181794212642542,0.1375727348295927,2.742596531011499,0.013862728196952999,1.101354915410108,0.7551414543401934
frozenset({'AYGL400000'}),frozenset({'AY4W010000'}),0.15859205062289894,0.02768439786434645,0.02175202689341507,0.1371571072319202,4.954310651941575,0.01736150146584816,1.1268744406254252,0.9485952355517573
frozenset({'AY4W010000'}),frozenset({'AYGL400000'}),0.02768439786434645,0.15859205062289894,0.02175202689341507,0.7857142857142857,4.954310651941575,0.01736150146584816,3.9265704304264712,0.8208811729251021
frozenset({'AY4Y010000'}),frozenset({'AYGL400000'}),0.04864544196163734,0.15859205062289894,0.01871992617493903,0.38482384823848237,2.426501496935169,0.01100514578078575,1.367751248106389,0.6179442064986052
frozenset({'AYGL400000'}),frozenset({'AY4Y010000'}),0.15859205062289894,0.04864544196163734,0.01871992617493903,0.11803823773898589,2.426501496935169,0.01100514578078575,1.0786800502546185,0.6986908525181642
frozenset({'VMJW400000'}),frozenset({'AY4Y010000'}),0.07659350075802518,0.04864544196163734,0.021422450728363324,0.2796901893287435,5.749566209087219,0.017696526032600184,1.3207574628919683,0.8945939149008604
frozenset({'AY4Y010000'}),frozenset({'VMJW400000'}),0.04864544196163734,0.07659350075802518,0.021422450728363324,0.4403794037940379,5.749566209087219,0.017696526032600184,1.6500581027616883,0.8683133204355402
"frozenset({'AR5X010000', 'AVHSG0301'})",frozenset({'AR5K010000'}),0.0783732120493046,0.07580251796190099,0.01713796058269066,0.21867115222876365,2.8847478699674554,0.011197073768591373,1.1828533973555433,0.7089087067988512
"frozenset({'AR5X010000', 'AR5K010000'})",frozenset({'AVHSG0301'}),0.040076461670292,0.16762243754531672,0.01713796058269066,0.4276315789473685,2.5511595297721303,0.01042024638932486,1.4542688447484124,0.6334060501059059
"frozenset({'AVHSG0301', 'AR5K010000'})",frozenset({'AR5X010000'}),0.0226089249225496,0.26339727110935335,0.01713796058269066,0.7580174927113703,2.877848694175225,0.011182831455374846,3.0440329639697814,0.6676122097487082
frozenset({'AR5X010000'}),"frozenset({'AVHSG0301', 'AR5K010000'})",0.26339727110935335,0.0226089249225496,0.01713796058269066,0.06506506506506507,2.877848694175225,0.011182831455374846,1.0454107965764163,0.8858482188951986
frozenset({'AVHSG0301'}),"frozenset({'AR5X010000', 'AR5K010000'})",0.16762243754531672,0.040076461670292,0.01713796058269066,0.10224144710971295,2.5511595297721303,0.01042024638932486,1.0692446596462757,0.7304634390000244
frozenset({'AR5K010000'}),"frozenset({'AR5X010000', 'AVHSG0301'})",0.07580251796190099,0.0783732120493046,0.01713796058269066,0.22608695652173916,2.8847478699674554,0.011197073768591373,1.1908660743183144,0.7069368474760387
"frozenset({'AY4Y010000', 'AVHSG0301'})",frozenset({'AR5X010000'}),0.012919385670028344,0.26339727110935335,0.012919385670028344,1.0,3.796546546546547,0.009516454740133594,inf,0.7462437395659434
"frozenset({'AR5X010000', 'AY4Y010000'})",frozenset({'AVHSG0301'}),0.0276184826313361,0.16762243754531672,0.012919385670028344,0.4677804295942721,2.7906790787946134,0.008289908290060793,1.5639739850605932,0.6598894235025898
"frozenset({'AR5X010000', 'AVHSG0301'})",frozenset({'AY4Y010000'}),0.0783732120493046,0.04864544196163734,0.012919385670028344,0.1648444070647603,3.3886917338475318,0.0091068861319368,1.1391345110852098,0.7648441582325963
frozenset({'AY4Y010000'}),"frozenset({'AR5X010000', 'AVHSG0301'})",0.04864544196163734,0.0783732120493046,0.012919385670028344,0.26558265582655827,3.3886917338475318,0.0091068861319368,1.2549087998295447,0.7409444343108267
frozenset({'AVHSG0301'}),"frozenset({'AR5X010000', 'AY4Y010000'})",0.16762243754531672,0.0276184826313361,0.012919385670028344,0.07707432166732206,2.7906790787946134,0.008289908290060793,1.0535859389299158,0.7708812777565889
frozenset({'AR5X010000'}),"frozenset({'AY4Y010000', 'AVHSG0301'})",0.26339727110935335,0.012919385670028344,0.012919385670028344,0.049049049049049054,3.796546546546547,0.009516454740133594,1.037993193384886,1.0
"frozenset({'VMJW400000', 'AVHSG0301'})",frozenset({'AR5X010000'}),0.02920044822358447,0.26339727110935335,0.013974029398193923,0.4785553047404063,1.81685748954372,0.006282711020931809,1.4126190861409371,0.46312248265401296
"frozenset({'AR5X010000', 'VMJW400000'})",frozenset({'AVHSG0301'}),0.018258519543866588,0.16762243754531672,0.013974029398193923,0.7653429602888087,4.565874184247549,0.010913491846282201,3.5472089969222655,0.7955087017438959
"frozenset({'AR5X010000', 'AVHSG0301'})",frozenset({'VMJW400000'}),0.0783732120493046,0.07659350075802518,0.013974029398193923,0.17830109335576114,2.3278880269365336,0.007971150721686644,1.1237772032740103,0.6189339123347269
frozenset({'VMJW400000'}),"frozenset({'AR5X010000', 'AVHSG0301'})",0.07659350075802518,0.0783732120493046,0.013974029398193923,0.18244406196213425,2.3278880269365336,0.007971150721686644,1.1272950816828506,0.6177410209339819
frozenset({'AVHSG0301'}),"frozenset({'AR5X010000', 'VMJW400000'})",0.16762243754531672,0.018258519543866588,0.013974029398193923,0.08336610302791979,4.565874184247549,0.010913491846282201,1.0710289939081714,0.9382567788860933
frozenset({'AR5X010000'}),"frozenset({'VMJW400000', 'AVHSG0301'})",0.26339727110935335,0.02920044822358447,0.013974029398193923,0.05305305305305306,1.81685748954372,0.006282711020931809,1.0251889558399991,0.6103684943649488
"frozenset({'AR5X010000', 'AY4R010000'})",frozenset({'AYGL400000'}),0.023004416320611693,0.15859205062289894,0.02181794212642542,0.9484240687679084,5.980274957305877,0.018169624568756725,16.313965240700494,0.8523923978441452
"frozenset({'AR5X010000', 'AYGL400000'})",frozenset({'AY4R010000'}),0.052204864544196164,0.050161492320875356,0.02181794212642542,0.417929292929293,8.331675825269782,0.019199268214479384,1.6318266769671734,0.9284454986280974
"frozenset({'AY4R010000', 'AYGL400000'})",frozenset({'AR5X010000'}),0.02181794212642542,0.26339727110935335,0.02181794212642542,1.0,3.796546546546547,0.016071155709103162,inf,0.7530323450134772
frozenset({'AR5X010000'}),"frozenset({'AY4R010000', 'AYGL400000'})",0.26339727110935335,0.02181794212642542,0.02181794212642542,0.08283283283283285,3.7965465465465473,0.016071155709103162,1.0665253760607925,1.0
